"Concept ID"	"Definition"	"Label"	"Note (optional)"
1	"Purposes associated with creating and providing personalised recommendations for events"	"Provide Event Recommendations"	
2	"Communication Management refers to purposes associated with providing or managing communication activities e.g. to send an email for notifying some information"	"Communication Management"	"This purpose by itself does not sufficiently and clearly indicate what the communication is about. As such, it is recommended to combine it with another purpose to indicate the application. For example, Communication of Payment."
3	"Purposes associated with maintaining a Credit Rating Database"	"Maintain Credit Rating Database"	
4	"Purposes association with verification e.g. information, identity, integrity"	"Verification"	
5	"Purposes associated with conducting research in a non-commercial setting e.g. for a non-profit-organisation (NGO)"	"Non-Commercial Research"	
6	"Purposes associated with processing activities performed in a commercial setting or with intention to commercialise"	"Commercial Purpose"	
7	"Prevention and Detection of Misuse or Abuse of services"	"Misuse, Prevention and Detection"	
8	"Purposes associated with processing and managing payment in relation to service, including invoicing and records"	"Payment Management"	
9	"Purposes associated with monitoring, performing, or assessing credit worthiness or solvency"	"Credit Checking"	
10	"Purposes associated with conducting research in a commercial setting or with intention to commercialise e.g. in a company or sponsored by a company"	"Commercial Research"	
11	"Purposes associated with carrying out data processing to fulfill a legal or statutory obligation"	"Legal Compliance"	"This purpose only refers to processing that is additionally required in order to fulfill the obligations and requirements associated with a law. For example, the use of consent would have its own separate purposes, with this purpose addressing a legal requirement for maintaining consent record (along with RecordManagement). This purpose will typically be used with Legal Obligation as the legal basis."
12	"Purposes associated with management and execution of hiring processes of personnel"	"Personnel Hiring"	
13	"Purposes associated with delivering goods and services requested or asked by consumer"	"Delivery of Goods"	
14	"Purposes associated with providing personalisation within services or product or activities"	"Service Personalisation"	
15	"Purposes associated with conducting or assisting with research conducted in an academic context e.g. within universities"	"Academic Research"	
16	"Purposes associated with selling or sharing data or information to third parties"	"Sell Data to Third Parties"	"Sell here means exchange, submit, or provide in return for direct or indirect compensation. Was subclass of commercial interest, changed to reflect selling something"
17	"Purposes associated with verifying or authenticating identity as a form of security"	"Identity Verification"	
18	"Purposes associated with the protection of intellectual property rights"	"Protection of Intellectual Property Rights"	
19	"Purposes associated with managing compliance for organisation in relation to internal policies"	"Organisation Compliance Management"	"Note that this concept relates to internal organisational compliance. The concept LegalCompliance should be used for external legal or regulatory compliance."
20	"Purposes associated with ensuring and enforcing security for data, personnel, or other related matters"	"Enforce Security"	"Was previous "Security". Prefixed to distinguish from TechOrg measures."
21	"Purposes associated with combating the causes and consequences of climate change, including reducing gas emissions and fighting emergencies such as floods or wildfires"	"Combat Climate Change"	
22	"Purposes associated with managing humans and 'human resources' within the organisation for effective and efficient operations."	"Human Resource Management"	"HR is a broad concept. Its management includes, amongst others - recruiting employees and intermediaries e.g. brokers, independent representatives; payroll administration, remunerations, commissions, and wages; and application of social legislation."
23	"Account Management refers to purposes associated with account management, such as to create, provide, maintain, and manage accounts"	"Account Management"	
24	"Purposes associated with improving existing products and services"	"Improve Existing Products and Services"	
25	"Purposes associated with scientific research"	"Scientific Research"	
